year,category,nominee,workers,winner
1953,Film | British Actor in 1953,Ralph Richardson,The Sound Barrier,True
1953,Film | British Actor in 1953,Jack Hawkins,Mandy,False
1953,Film | British Actor in 1953,James Hayter,The Pickwick Papers,False
1953,Film | British Actor in 1953,Laurence Olivier,Carrie,False
1953,Film | British Actor in 1953,Nigel Patrick,The Sound Barrier,False
1953,Film | British Actor in 1953,Alastair Sim,Folly To Be Wise,False
1953,Film | British Actress in 1953,Vivien Leigh,A Streetcar Named Desire,True
1953,Film | British Actress in 1953,Phyllis Calvert,Mandy,False
1953,Film | British Actress in 1953,Celia Johnson,I Believe In You,False
1953,Film | British Actress in 1953,Ann Todd,The Sound Barrier,False
1953,Film | Foreign Actor in 1953,"Viva, Zapata!",Marlon Brando,True
1953,Film | Foreign Actor in 1953,The African Queen,Humphrey Bogart,False
1953,Film | Foreign Actor in 1953,God Needs Men (Dieu A Besoin Des Hommes),Pierre Fresnay,False
1953,Film | Foreign Actor in 1953,Miracle in Milan (Miracolo A Milano),Francesco Golisano,False
1953,Film | Foreign Actor in 1953,Death Of A Salesman,Fredric March,False
1953,Film | Foreign Actress in 1953,Golden Helmet (Casque D'Or),Simone Signoret,True
1953,Film | Foreign Actress in 1953,Olivia,Edwige Feuillère,False
1953,Film | Foreign Actress in 1953,Pat And Mike,Katharine Hepburn,False
1953,Film | Foreign Actress in 1953,The Marrying Kind,Judy Holliday,False
1953,Film | Foreign Actress in 1953,The Strange Ones  (Les Enfants Terribles),Nicole Stéphane,False
1953,Film | Most Promising Newcomer To Film in 1953,Limelight,Claire Bloom,True
1953,Film | Most Promising Newcomer To Film in 1953,Mandy,Dorothy Alison,False
1953,Film | Most Promising Newcomer To Film in 1953,Mandy,Mandy Miller,False
1953,Film | Most Promising Newcomer To Film in 1953,The Importance Of Being Earnest,Dorothy Tutin,False
1954,Film | British Actor in 1954,John Gielgud,Julius Caesar,True
1954,Film | British Actor in 1954,Jack Hawkins,The Cruel Sea,False
1954,Film | British Actor in 1954,Trevor Howard,The Heart of the Matter,False
1954,Film | British Actor in 1954,Duncan Macrae,The Kidnappers,False
1954,Film | British Actor in 1954,Kenneth Moore,Genevieve,False
1954,Film | British Actress in 1954,Audrey Hepburn,Roman Holiday,True
1954,Film | British Actress in 1954,Celia Johnson,The Captain's Paradise,False
1954,Film | Foreign Actor in 1954,Julius Caesar,Marlon Brando,True
1954,Film | Foreign Actor in 1954,Roman Holiday,Eddie Albert,False
1954,Film | Foreign Actor in 1954,Shane,Van Heflin,False
1954,Film | Foreign Actor in 1954,Diary Of A Country Priest (Journal D'Un Curé De Campagne),Claude Laydu,False
1954,Film | Foreign Actor in 1954,We Are All Murderers (Nous Sommes Tous Des Assassins),Marcel Mouloudji,False
1954,Film | Foreign Actor in 1954,Roman Holiday,Gregory Peck,False
1954,Film | Foreign Actor in 1954,The Actress,Spencer Tracy,False
1954,Film | Foreign Actress in 1954,Lili,Leslie Caron,True
1954,Film | Foreign Actress in 1954,"Come Back, Little Sheba",Shirley Booth,False
1954,Film | Foreign Actress in 1954,The Medium,Marie Powers,False
1954,Film | Foreign Actress in 1954,The Heart Of The Matter,Maria Schell,False
1954,Film | Most Promising Newcomer To Film in 1954,Trouble In Store,Norman Wisdom,True
1954,Film | Most Promising Newcomer To Film in 1954,Moulin Rouge,Colette Marchand,False
1955,Film | British Actor in 1955,Kenneth More,Doctor In The House,True
1955,Film | British Actor in 1955,Maurice Denham,The Purple Plain,False
1955,Film | British Actor in 1955,Robert Donat,Lease Of Life,False
1955,Film | British Actor in 1955,John Mills,Hobson's Choice,False
1955,Film | British Actor in 1955,David Niven,Carrington VC,False
1955,Film | British Actor in 1955,Donald Wolfit,Svengali,False
1955,Film | British Actress in 1955,Yvonne Mitchell,The Divided Heart,True
1955,Film | British Actress in 1955,Brenda De Banzie,Hobson's Choice,False
1955,Film | British Actress in 1955,Audrey Hepburn,Sabrina Fair,False
1955,Film | British Actress in 1955,Margaret Leighton,Carrington VC,False
1955,Film | British Actress in 1955,Noelle Middleton,Carrington VC,False
